type,latitude,longitude,alt
T,48.9845,8.39196,115.61
T,48.9845,8.39195,115.596
T,48.9845,8.39194,115.61
T,48.9845,8.39193,115.619
T,48.9845,8.39192,115.58
T,48.9845,8.39192,115.569
T,48.9845,8.39193,115.543
T,48.9846,8.39195,115.527
T,48.9846,8.39197,115.505
T,48.9846,8.39199,115.49
T,48.9847,8.39202,115.441
T,48.9847,8.39205,115.4
T,48.9847,8.39208,115.363
T,48.9848,8.39211,115.303
T,48.9848,8.39214,115.272
T,48.9848,8.39217,115.245
T,48.9849,8.3922,115.249
T,48.9849,8.39223,115.234
T,48.985,8.39227,115.272
T,48.985,8.3923,115.247
T,48.985,8.39233,115.266
T,48.9851,8.39236,115.244
T,48.9851,8.3924,115.201
T,48.9852,8.39243,115.191
T,48.9852,8.39246,115.135
T,48.9852,8.3925,115.105
T,48.9853,8.39253,115.095
T,48.9853,8.39256,115.088
T,48.9853,8.39258,115.085
T,48.9854,8.39261,115.088
T,48.9854,8.39263,115.108
T,48.9854,8.39266,115.096
T,48.9855,8.39268,115.075
T,48.9855,8.39269,115.045
T,48.9855,8.39271,115.055
T,48.9855,8.39272,115.064
T,48.9855,8.39272,115.098
T,48.9855,8.39272,115.087
T,48.9856,8.39271,115.043
T,48.9856,8.39269,114.973
T,48.9856,8.39267,115.012
T,48.9856,8.39264,115.012
T,48.9856,8.3926,114.996
T,48.9856,8.39256,115.052
T,48.9856,8.39252,115.087
T,48.9856,8.39248,115.11
T,48.9857,8.39243,115.12
T,48.9857,8.39238,115.072
T,48.9857,8.39233,115.05
T,48.9857,8.39227,115.053
T,48.9857,8.39222,115.056
T,48.9857,8.39217,115.043
T,48.9858,8.39211,115.036
T,48.9858,8.39206,115.05
T,48.9858,8.39201,115.055
T,48.9858,8.39196,115.059
T,48.9858,8.39192,115.057
T,48.9858,8.39187,115.067
T,48.9859,8.39183,115.06
T,48.9859,8.39179,115.054
T,48.9859,8.39175,115.106
T,48.9859,8.3917,115.174
T,48.9859,8.39165,115.142
T,48.9859,8.3916,115.12
T,48.9859,8.39155,115.111
T,48.986,8.39149,115.158
T,48.986,8.39143,115.171
T,48.986,8.39138,115.195
T,48.986,8.39132,115.247
T,48.9861,8.39127,115.275
T,48.9861,8.39121,115.314
T,48.9861,8.39115,115.308
T,48.9861,8.3911,115.305
T,48.9861,8.39104,115.287
T,48.9861,8.39099,115.289
T,48.9862,8.39094,115.292
T,48.9862,8.39088,115.317
T,48.9862,8.39083,115.335
T,48.9862,8.39078,115.373
T,48.9862,8.39073,115.444
T,48.9862,8.39067,115.462
T,48.9863,8.39062,115.459
T,48.9863,8.39057,115.461
T,48.9863,8.39051,115.44
T,48.9863,8.39046,115.414
T,48.9864,8.39041,115.404
T,48.9864,8.39036,115.389
T,48.9864,8.39031,115.388
T,48.9864,8.39026,115.412
T,48.9864,8.39022,115.418
T,48.9864,8.39019,115.414
T,48.9865,8.39016,115.405
T,48.9865,8.39013,115.459
T,48.9865,8.39011,115.468
T,48.9865,8.39009,115.503
T,48.9865,8.39007,115.53
T,48.9865,8.39005,115.553
T,48.9865,8.39004,115.552
T,48.9865,8.39002,115.547
T,48.9865,8.39,115.551
T,48.9866,8.38998,115.546
T,48.9866,8.38996,115.547
T,48.9866,8.38994,115.539
T,48.9866,8.38993,115.524
T,48.9866,8.38991,115.533
T,48.9866,8.3899,115.535
T,48.9866,8.38988,115.537
T,48.9866,8.38986,115.531
T,48.9866,8.38984,115.516
T,48.9866,8.38981,115.521
T,48.9866,8.38978,115.527
T,48.9866,8.38975,115.511
T,48.9866,8.38972,115.48
T,48.9865,8.38969,115.49
T,48.9865,8.38966,115.473
T,48.9865,8.38963,115.498
T,48.9865,8.38959,115.517
T,48.9864,8.38956,115.527
T,48.9864,8.38952,115.543
T,48.9864,8.38949,115.502
T,48.9863,8.38945,115.572
T,48.9863,8.38942,115.567
T,48.9862,8.38938,115.568
T,48.9862,8.38935,115.553
T,48.9862,8.38932,115.555
T,48.9861,8.38929,115.558
T,48.9861,8.38927,115.55
T,48.9861,8.38924,115.561
T,48.986,8.38921,115.587
T,48.986,8.38919,115.615
T,48.9859,8.38916,115.618
T,48.9859,8.38914,115.638
T,48.9859,8.38911,115.653
T,48.9858,8.38909,115.654
T,48.9858,8.38907,115.671
T,48.9857,8.38905,115.689
T,48.9857,8.38903,115.716
T,48.9857,8.38901,115.722
T,48.9856,8.389,115.751
T,48.9856,8.38898,115.753
T,48.9855,8.38897,115.774
T,48.9855,8.38895,115.784
T,48.9854,8.38894,115.798
T,48.9854,8.38893,115.807
T,48.9853,8.38892,115.817
T,48.9853,8.38891,115.813
T,48.9853,8.3889,115.813
T,48.9852,8.38889,115.817
T,48.9852,8.38889,115.813
T,48.9851,8.38888,115.796
T,48.9851,8.38888,115.792
T,48.985,8.38888,115.781
T,48.985,8.38888,115.744
T,48.985,8.38888,115.798
T,48.9849,8.38888,115.912
T,48.9849,8.38888,115.987
T,48.9848,8.38888,116.045
T,48.9848,8.38889,116.105
T,48.9847,8.38889,116.138
T,48.9847,8.3889,116.167
T,48.9846,8.38891,116.207
T,48.9846,8.38892,116.218
T,48.9846,8.38893,116.202
T,48.9845,8.38894,116.177
T,48.9845,8.38895,116.172
T,48.9844,8.38896,116.158
T,48.9844,8.38898,116.178
T,48.9843,8.389,116.181
T,48.9843,8.38901,116.169
T,48.9843,8.38903,116.179
T,48.9842,8.38905,116.153
T,48.9842,8.38908,116.165
T,48.9841,8.3891,116.162
T,48.9841,8.38912,116.155
T,48.984,8.38914,116.141
T,48.984,8.38917,116.133
T,48.9839,8.38919,116.125
T,48.9839,8.38921,116.166
T,48.9838,8.38923,116.201
T,48.9838,8.38925,116.201
T,48.9838,8.38927,116.186
T,48.9837,8.38929,116.185
T,48.9837,8.38932,116.234
T,48.9836,8.38934,116.252
T,48.9836,8.38936,116.242
T,48.9835,8.38938,116.247
T,48.9835,8.3894,116.254
T,48.9834,8.38942,116.268
T,48.9834,8.38945,116.262
T,48.9834,8.38947,116.269
T,48.9833,8.38949,116.353
T,48.9833,8.38951,116.424
T,48.9832,8.38953,116.462
T,48.9832,8.38956,116.493
T,48.9831,8.38958,116.511
T,48.9831,8.3896,116.532
T,48.983,8.38962,116.532
T,48.983,8.38965,116.525
T,48.9829,8.38967,116.53
T,48.9829,8.38969,116.523
T,48.9829,8.38971,116.547
T,48.9828,8.38973,116.552
T,48.9828,8.38975,116.554
T,48.9827,8.38977,116.553
T,48.9827,8.38978,116.574
T,48.9827,8.3898,116.598
T,48.9826,8.38982,116.604
T,48.9826,8.38983,116.62
T,48.9826,8.38985,116.643
T,48.9826,8.38988,116.652
T,48.9826,8.3899,116.656
T,48.9825,8.38993,116.651
T,48.9825,8.38997,116.627
T,48.9825,8.39,116.626
T,48.9825,8.39004,116.608
T,48.9825,8.39007,116.642
T,48.9825,8.39011,116.661
T,48.9825,8.39014,116.677
T,48.9825,8.39016,116.695
T,48.9825,8.39019,116.721
T,48.9825,8.39021,116.744
T,48.9825,8.39023,116.753
T,48.9825,8.39024,116.754
T,48.9825,8.39025,116.751
T,48.9825,8.39026,116.755
T,48.9825,8.39028,116.775
T,48.9825,8.3903,116.818
T,48.9825,8.39032,116.835
T,48.9825,8.39034,116.836
T,48.9826,8.39036,116.84
T,48.9826,8.39038,116.791
T,48.9826,8.39041,116.764
T,48.9826,8.39043,116.727
T,48.9826,8.39045,116.698
T,48.9827,8.39047,116.701
T,48.9827,8.3905,116.74
T,48.9827,8.39052,116.766
T,48.9828,8.39055,116.747
T,48.9828,8.39058,116.759
T,48.9828,8.3906,116.787
T,48.9829,8.39063,116.792
T,48.9829,8.39066,116.791
T,48.983,8.39069,116.796
T,48.983,8.39071,116.811
T,48.983,8.39074,116.799
T,48.9831,8.39077,116.824
T,48.9831,8.3908,116.852
T,48.9831,8.39083,116.891
T,48.9832,8.39086,116.991
T,48.9832,8.39089,117.044
T,48.9833,8.39092,117.044
T,48.9833,8.39095,117.038
T,48.9833,8.39098,117.009
